x,y,value
2017-01-17,BOYACA,4
2017-01-17,CAQUETA,2
2017-01-17,CAUCA,6
2017-01-17,CESAR,6
2017-01-17,CORDOBA,2
2017-01-17,CUNDINAMARCA,44
2017-01-17,GUAJIRA,5
2017-01-17,HUILA,7
2017-01-17,MAGDALENA,17
2017-01-17,META,11
2017-01-17,NARINO,11
2017-01-17,NORTE DE SANTANDER,4
2017-01-17,PUTUMAYO,1
2017-01-17,QUINDIO,2
2017-01-17,RISARALDA,7
2017-01-17,SAN ANDRES,1
2017-01-17,SANTANDER,10
2017-01-17,SUCRE,2
2017-01-17,TOLIMA,11
2017-01-17,VALLE,24
2017-01-18,ANTIOQUIA,30
2017-01-18,ARAUCA,2
2017-01-18,ATLANTICO,7
2017-01-18,BOLIVAR,1
2017-01-18,CALDAS,4
2017-01-18,CAQUETA,1
2017-01-18,CASANARE,1
2017-01-18,CAUCA,4
2017-01-18,CESAR,9
2017-01-18,CHOCO,1
2017-01-18,CORDOBA,9
2017-01-18,CUNDINAMARCA,38
2017-01-18,GUAJIRA,1
2017-01-18,HUILA,9
2017-01-18,MAGDALENA,4
2017-01-18,META,8
2017-01-18,NARINO,11
2017-01-18,NORTE DE SANTANDER,2
2017-01-18,QUINDIO,5
2017-01-18,RISARALDA,9
2017-01-18,SANTANDER,25
2017-01-18,SUCRE,6
2017-01-18,TOLIMA,2
2017-01-18,VALLE,17
2017-01-19,ANTIOQUIA,34
2017-01-19,ARAUCA,2
2017-01-19,ATLANTICO,13
2017-01-19,BOLIVAR,1
2017-01-19,BOYACA,3
2017-01-19,CALDAS,3
2017-01-19,CAQUETA,1
2017-01-19,CAUCA,3
2017-01-19,CESAR,2
2017-01-19,CHOCO,1
2017-01-19,CORDOBA,2
2017-01-19,CUNDINAMARCA,45
2017-01-19,GUAJIRA,3
2017-01-19,GUAVIARE,4
2017-01-19,HUILA,8
2017-01-19,MAGDALENA,10
2017-01-19,META,15
2017-01-19,NARINO,7
2017-01-19,NORTE DE SANTANDER,4
2017-01-19,PUTUMAYO,2
2017-01-19,QUINDIO,18
2017-01-19,RISARALDA,8
2017-01-19,SANTANDER,11
2017-01-19,SUCRE,5
2017-01-19,TOLIMA,10
2017-01-19,VALLE,41
2017-01-20,ANTIOQUIA,33
2017-01-20,ATLANTICO,13
2017-01-20,BOLIVAR,1
2017-01-20,BOYACA,1
2017-01-20,CALDAS,5
2017-01-20,CAQUETA,5
2017-01-20,CASANARE,3
2017-01-20,CAUCA,5
2017-01-20,CESAR,2
2017-01-20,CHOCO,2
2017-01-20,CORDOBA,2
2017-01-20,CUNDINAMARCA,57
2017-01-20,GUAJIRA,3
2017-01-20,HUILA,6
2017-01-20,MAGDALENA,6
2017-01-20,META,6
2017-01-20,NARINO,11
2017-01-20,NORTE DE SANTANDER,11
2017-01-20,PUTUMAYO,2
2017-01-20,QUINDIO,4
2017-01-20,RISARALDA,7
2017-01-20,SAN ANDRES,1
2017-01-20,SANTANDER,17
2017-01-20,SUCRE,8
2017-01-20,TOLIMA,17
2017-01-20,VALLE,34
2017-01-21,ANTIOQUIA,40
2017-01-21,ARAUCA,2
2017-01-21,ATLANTICO,13
2017-01-21,BOLIVAR,3
2017-01-21,CALDAS,4
2017-01-21,CASANARE,3
2017-01-21,CAUCA,3
2017-01-21,CESAR,9
2017-01-21,CORDOBA,7
2017-01-21,CUNDINAMARCA,67
2017-01-21,GUAJIRA,5
2017-01-21,HUILA,9
2017-01-21,MAGDALENA,4
2017-01-21,META,15
2017-01-21,NARINO,9
2017-01-21,NORTE DE SANTANDER,1
2017-01-21,QUINDIO,9
2017-01-21,RISARALDA,10
2017-01-21,SANTANDER,16
2017-01-21,SUCRE,5
2017-01-21,TOLIMA,13
2017-01-21,VALLE,28
2017-01-22,ANTIOQUIA,29
2017-01-22,ARAUCA,1
2017-01-22,ATLANTICO,8
2017-01-22,BOLIVAR,2
2017-01-22,BOYACA,4
2017-01-22,CALDAS,8
2017-01-22,CAQUETA,1
2017-01-22,CASANARE,4
2017-01-22,CAUCA,4
2017-01-22,CESAR,6
2017-01-22,CHOCO,1
2017-01-22,CORDOBA,3
2017-01-22,CUNDINAMARCA,27
2017-01-22,GUAJIRA,2
2017-01-22,HUILA,5
2017-01-22,MAGDALENA,10
2017-01-22,META,10
2017-01-22,NARINO,11
2017-01-22,NORTE DE SANTANDER,2
2017-01-22,PUTUMAYO,1
2017-01-22,QUINDIO,3
2017-01-22,RISARALDA,3
2017-01-22,SANTANDER,12
2017-01-22,SUCRE,12
2017-01-22,TOLIMA,11
2017-01-22,VALLE,14
2017-01-23,AMAZONAS,1
2017-01-23,ANTIOQUIA,30
2017-01-23,ARAUCA,3
2017-01-23,ATLANTICO,11
2017-01-23,BOLIVAR,1
2017-01-23,BOYACA,2
2017-01-23,CALDAS,6
2017-01-23,CAQUETA,1
2017-01-23,CASANARE,1
2017-01-23,CAUCA,4
2017-01-23,CESAR,8
2017-01-23,CORDOBA,4
2017-01-23,CUNDINAMARCA,40
2017-01-23,GUAJIRA,9
2017-01-23,HUILA,11
2017-01-23,MAGDALENA,10
2017-01-23,META,4
2017-01-23,NARINO,6
2017-01-23,NORTE DE SANTANDER,6
2017-01-23,QUINDIO,3
2017-01-23,RISARALDA,7
2017-01-23,SAN ANDRES,1
2017-01-23,SANTANDER,13
2017-01-23,SUCRE,5
2017-01-23,TOLIMA,9
2017-01-23,VALLE,35
2017-01-23,ANTIOQUIA,43
2017-01-23,ARAUCA,1
2017-01-23,ATLANTICO,2
2017-01-23,BOLIVAR,14
2017-01-23,CAQUETA,4
2017-01-23,CASANARE,3
2017-01-23,CAUCA,1
2017-01-23,CESAR,3
2017-01-23,CHOCO,2
2017-01-23,CORDOBA,7
2017-01-23,CUNDINAMARCA,49
2017-01-23,GUAJIRA,5
2017-01-23,HUILA,5
2017-01-23,MAGDALENA,4
2017-01-23,META,3
2017-01-23,NARINO,7
2017-01-23,NORTE DE SANTANDER,2
2017-01-23,QUINDIO,3
2017-01-23,RISARALDA,8
2017-01-23,SAN ANDRES,1
2017-01-23,SANTANDER,21
2017-01-23,SUCRE,2
2017-01-23,TOLIMA,10
2017-01-23,VALLE,26
2017-01-25,ANTIOQUIA,40
2017-01-25,ATLANTICO,11
2017-01-25,BOLIVAR,6
2017-01-25,BOYACA,3
2017-01-25,CALDAS,7
2017-01-25,CAQUETA,2
2017-01-25,CASANARE,6
2017-01-25,CAUCA,6
2017-01-25,CESAR,4
2017-01-25,CHOCO,1
2017-01-25,CORDOBA,3
2017-01-25,CUNDINAMARCA,50
2017-01-25,GUAJIRA,4
2017-01-25,HUILA,6
2017-01-25,MAGDALENA,7
2017-01-25,META,3
2017-01-25,NARINO,8
2017-01-25,NORTE DE SANTANDER,4
2017-01-25,PUTUMAYO,1
2017-01-25,QUINDIO,7
2017-01-25,RISARALDA,7
2017-01-25,SANTANDER,14
2017-01-25,TOLIMA,9
2017-01-25,VALLE,27
2017-01-25,VICHADA,1
2017-01-26,ANTIOQUIA,34
2017-01-26,ATLANTICO,11
2017-01-26,BOLIVAR,5
2017-01-26,BOYACA,1
2017-01-26,CALDAS,5
2017-01-26,CAQUETA,4
2017-01-26,CASANARE,1
2017-01-26,CAUCA,3
2017-01-26,CESAR,4
2017-01-26,CHOCO,2
2017-01-26,CORDOBA,4
2017-01-26,CUNDINAMARCA,93
2017-01-26,GUAJIRA,4
2017-01-26,HUILA,3
2017-01-26,MAGDALENA,7
2017-01-26,META,12
2017-01-26,NARINO,4
2017-01-26,NORTE DE SANTANDER,11
2017-01-26,PUTUMAYO,1
2017-01-26,QUINDIO,2
2017-01-26,RISARALDA,2
2017-01-26,SANTANDER,26
2017-01-26,SUCRE,6
2017-01-26,TOLIMA,5
2017-01-26,VALLE,26
2017-01-27,ANTIOQUIA,30
2017-01-27,ARAUCA,1
2017-01-27,ATLANTICO,12
2017-01-27,BOYACA,1
2017-01-27,CALDAS,5
2017-01-27,CAQUETA,2
2017-01-27,CASANARE,2
2017-01-27,CAUCA,5
2017-01-27,CESAR,7
2017-01-27,CORDOBA,6
2017-01-27,CUNDINAMARCA,80
2017-01-27,HUILA,7
2017-01-27,MAGDALENA,8
2017-01-27,META,9
2017-01-27,NARINO,5
2017-01-27,NORTE DE SANTANDER,6
2017-01-27,QUINDIO,7
2017-01-27,RISARALDA,9
2017-01-27,SAN ANDRES,1
2017-01-27,SANTANDER,21
2017-01-27,SUCRE,2
2017-01-27,TOLIMA,10
2017-01-27,VALLE,25
2017-01-28,ANTIOQUIA,30
2017-01-28,ARAUCA,2
2017-01-28,ATLANTICO,13
2017-01-28,BOLIVAR,2
2017-01-28,BOYACA,1
2017-01-28,CALDAS,3
2017-01-28,CAQUETA,2
2017-01-28,CASANARE,3
2017-01-28,CAUCA,6
2017-01-28,CESAR,6
2017-01-28,CORDOBA,7
2017-01-28,CUNDINAMARCA,56
2017-01-28,GUAJIRA,2
2017-01-28,HUILA,9
2017-01-28,MAGDALENA,12
2017-01-28,META,14
2017-01-28,NARINO,9
2017-01-28,NORTE DE SANTANDER,11
2017-01-28,QUINDIO,6
2017-01-28,RISARALDA,8
2017-01-28,SAN ANDRES,1
2017-01-28,SANTANDER,20
2017-01-28,SUCRE,3
2017-01-28,TOLIMA,11
2017-01-28,VALLE,32
2017-01-29,ANTIOQUIA,32
2017-01-29,ATLANTICO,9
2017-01-29,BOLIVAR,1
2017-01-29,BOYACA,4
2017-01-29,CALDAS,5
2017-01-29,CASANARE,2
2017-01-29,CAUCA,3
2017-01-29,CESAR,7
2017-01-29,CORDOBA,3
2017-01-29,CUNDINAMARCA,70
2017-01-29,GUAJIRA,2
2017-01-29,GUAVIARE,3
2017-01-29,HUILA,7
2017-01-29,MAGDALENA,3
2017-01-29,META,3
2017-01-29,NARINO,9
2017-01-29,NORTE DE SANTANDER,3
2017-01-29,QUINDIO,3
2017-01-29,RISARALDA,4
2017-01-29,SANTANDER,7
2017-01-29,SUCRE,2
2017-01-29,TOLIMA,8
2017-01-29,VALLE,27
2017-01-30,ANTIOQUIA,36
2017-01-30,ATLANTICO,5
2017-01-30,BOLIVAR,1
2017-01-30,BOYACA,1
2017-01-30,CALDAS,3
2017-01-30,CAQUETA,2
2017-01-30,CASANARE,5
2017-01-30,CAUCA,4
2017-01-30,CESAR,2
2017-01-30,CHOCO,1
2017-01-30,CORDOBA,2
2017-01-30,CUNDINAMARCA,107
2017-01-30,GUAJIRA,6
2017-01-30,HUILA,2
2017-01-30,MAGDALENA,4
2017-01-30,META,7
2017-01-30,NARINO,12
2017-01-30,NORTE DE SANTANDER,3
2017-01-30,QUINDIO,10
2017-01-30,RISARALDA,2
2017-01-30,SANTANDER,19
2017-01-30,SUCRE,2
2017-01-30,TOLIMA,10
2017-01-30,VALLE,28
2017-01-31,ANTIOQUIA,26
2017-01-31,ATLANTICO,13
2017-01-31,BOLIVAR,2
2017-01-31,BOYACA,2
2017-01-31,CALDAS,8
2017-01-31,CAQUETA,1
2017-01-31,CASANARE,1
2017-01-31,CAUCA,3
2017-01-31,CESAR,4
2017-01-31,CHOCO,1
2017-01-31,CORDOBA,18
2017-01-31,CUNDINAMARCA,70
2017-01-31,GUAJIRA,5
2017-01-31,HUILA,8
2017-01-31,MAGDALENA,5
2017-01-31,META,8
2017-01-31,NARINO,8
2017-01-31,NORTE DE SANTANDER,6
2017-01-31,QUINDIO,5
2017-01-31,RISARALDA,4
2017-01-31,SAN ANDRES,3
2017-01-31,SANTANDER,13
2017-01-31,SUCRE,2
2017-01-31,TOLIMA,15
2017-01-31,VALLE,21
2017-02-01,ANTIOQUIA,43
2017-02-01,ARAUCA,1
2017-02-01,ATLANTICO,10
2017-02-01,BOLIVAR,6
2017-02-01,BOYACA,1
2017-02-01,CALDAS,2
2017-02-01,CAQUETA,2
2017-02-01,CASANARE,1
2017-02-01,CAUCA,6
2017-02-01,CESAR,2
2017-02-01,CHOCO,1
2017-02-01,CORDOBA,4
2017-02-01,CUNDINAMARCA,60
2017-02-01,GUAVIARE,1
2017-02-01,HUILA,5
2017-02-01,MAGDALENA,5
2017-02-01,META,12
2017-02-01,NARINO,11
2017-02-01,NORTE DE SANTANDER,9
2017-02-01,PUTUMAYO,1
2017-02-01,QUINDIO,4
2017-02-01,RISARALDA,4
2017-02-01,SANTANDER,18
2017-02-01,SUCRE,5
2017-02-01,TOLIMA,18
2017-02-01,VALLE,37
2017-02-02,ANTIOQUIA,39
2017-02-02,ARAUCA,1
2017-02-02,ATLANTICO,8
2017-02-02,BOLIVAR,6
2017-02-02,BOYACA,4
2017-02-02,CALDAS,1
2017-02-02,CAQUETA,7
2017-02-02,CAUCA,3
2017-02-02,CESAR,8
2017-02-02,CHOCO,1
2017-02-02,CORDOBA,18
2017-02-02,CUNDINAMARCA,53
2017-02-02,GUAJIRA,2
2017-02-02,HUILA,2
2017-02-02,MAGDALENA,4
2017-02-02,META,16
2017-02-02,NARINO,6
2017-02-02,NORTE DE SANTANDER,6
2017-02-02,PUTUMAYO,1
2017-02-02,QUINDIO,5
2017-02-02,RISARALDA,4
2017-02-02,SAN ANDRES,3
2017-02-02,SANTANDER,14
2017-02-02,SUCRE,2
2017-02-02,TOLIMA,12
2017-02-02,VALLE,25
2017-02-02,VICHADA,3
2017-02-03,ANTIOQUIA,32
2017-02-03,ATLANTICO,9
2017-02-03,BOLIVAR,3
2017-02-03,BOYACA,6
2017-02-03,CALDAS,4
2017-02-03,CAQUETA,1
2017-02-03,CASANARE,1
2017-02-03,CAUCA,2
2017-02-03,CESAR,6
2017-02-03,CORDOBA,4
2017-02-03,CUNDINAMARCA,61
2017-02-03,GUAJIRA,2
2017-02-03,HUILA,3
2017-02-03,MAGDALENA,14
2017-02-03,META,18
2017-02-03,NARINO,11
2017-02-03,NORTE DE SANTANDER,9
2017-02-03,PUTUMAYO,1
2017-02-03,QUINDIO,7
2017-02-03,RISARALDA,3
2017-02-03,SANTANDER,13
2017-02-03,SUCRE,9
2017-02-03,TOLIMA,7
2017-02-03,VALLE,40
2017-02-04,AMAZONAS,1
2017-02-04,ANTIOQUIA,38
2017-02-04,ATLANTICO,3
2017-02-04,BOLIVAR,7
2017-02-04,BOYACA,3
2017-02-04,CALDAS,5
2017-02-04,CAQUETA,1
2017-02-04,CASANARE,2
2017-02-04,CAUCA,8
2017-02-04,CESAR,5
2017-02-04,CORDOBA,5
2017-02-04,CUNDINAMARCA,50
2017-02-04,GUAJIRA,1
2017-02-04,GUAVIARE,1
2017-02-04,HUILA,7
2017-02-04,MAGDALENA,5
2017-02-04,META,11
2017-02-04,NARINO,17
2017-02-04,NORTE DE SANTANDER,3
2017-02-04,QUINDIO,3
2017-02-04,RISARALDA,8
2017-02-04,SAN ANDRES,3
2017-02-04,SANTANDER,19
2017-02-04,SUCRE,1
2017-02-04,TOLIMA,10
2017-02-04,VALLE,27
2017-02-05,AMAZONAS,1
2017-02-05,ANTIOQUIA,26
2017-02-05,ATLANTICO,7
2017-02-05,BOLIVAR,2
2017-02-05,BOYACA,3
2017-02-05,CALDAS,8
2017-02-05,CAQUETA,3
2017-02-05,CASANARE,2
2017-02-05,CAUCA,10
2017-02-05,CESAR,7
2017-02-05,CORDOBA,3
2017-02-05,CUNDINAMARCA,44
2017-02-05,GUAJIRA,3
2017-02-05,GUAVIARE,1
2017-02-05,HUILA,6
2017-02-05,MAGDALENA,5
2017-02-05,META,5
2017-02-05,NARINO,10
2017-02-05,NORTE DE SANTANDER,3
2017-02-05,QUINDIO,5
